key.id,value.name,value.course_id,value.integration_id,value.created_at,value.updated_at,value.workflow_state,value.sis_batch_id,value.start_at,value.end_at,value.sis_source_id,value.default_section,value.accepting_enrollments,value.restrict_enrollments_to_section_dates,value.nonxlist_course_id,value.enrollment_term_id,meta.ts
17059,REGRESION AVANZADA - 001,8724,,2022-12-15T23:05:42.496Z,2022-12-15T23:05:42.496Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
7258,"ESTADISTICA.,II - 002",4174,,2021-07-22T22:03:04.751Z,2023-01-03T17:06:37.389Z,active,8810,2021-08-01T05:00:00.000Z,2022-01-11T06:00:00.000Z,202103-EST-10102-002-T,,,true,,,2023-03-24T13:09:48.294Z
15439,PRINCIPIOS DEL SEGURO - 002,8087,,2022-12-15T23:05:05.054Z,2023-01-06T11:31:32.205Z,deleted,8870,2023-01-01T06:00:00.000Z,2023-06-11T05:00:00.000Z,202301-ACT-15357-002-T,,,true,,,2023-03-24T13:09:48.294Z
12810,HISTORIA POLITICA CONTEMPORAN. - 001,6788,,2022-07-15T22:03:09.577Z,2022-07-15T22:03:09.577Z,active,12463,2022-08-01T05:00:00.000Z,2023-01-11T06:00:00.000Z,202203-CSO-12013-001-T,,,true,,,2023-11-27T00:40:42.846Z
11875,004,6253,,2022-01-24T05:14:38.185Z,2022-01-24T05:14:38.185Z,active,,,,,,,,,,2023-03-24T13:09:48.294Z
15277,DERECHO CONSTITUCIONAL COMPARADO - 001,7972,,2022-12-02T23:01:57.399Z,2022-12-02T23:01:57.399Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
1623,CONTABILIDAD FISCAL - 002,254,,2020-07-30T19:06:56.047Z,2020-07-30T19:06:56.047Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
4747,POLITICA COMPARADA I - 003,2157,,2020-12-27T21:03:09.072Z,2020-12-27T21:03:09.072Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
3900,ECONOMIA III - 004,2409,,2020-12-27T21:02:41.386Z,2022-05-31T22:06:49.520Z,deleted,6510,2021-01-01T06:00:00.000Z,2021-06-11T05:00:00.000Z,202101-ECO-21103-004-T,,,true,,,2023-03-24T13:09:48.294Z
2352,ESTRATEGIAS DE COMUNICACION ESCRITA - 010,1246,,2020-07-30T19:09:38.110Z,2020-07-30T19:09:38.110Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
6367,FINANZAS I - 001,3349,,2021-05-22T21:01:53.931Z,2021-05-22T21:01:53.931Z,active,,,,,true,,,,,2023-03-24T13:09:48.294Z
4134,CELDAS ROBOTICAS - 001,2662,,2020-12-27T21:02:45.778Z,2022-05-31T22:07:42.826Z,deleted,6510,2021-01-01T06:00:00.000Z,2021-06-11T05:00:00.000Z,202101-IIO-15195-001-T,,,true,,,2023-03-24T13:09:48.294Z
